x y
0.0247806 -0.0278478
-0.139217 -0.179049
0.213003 0.195949
0.26102 0.188889
0.756424 0.373559
0.222557 0.150906
0.401851 0.0922872
0.662591 0.402944
0.908404 0.31854
2.5412 0.252837
5.79048 0.00788876
9.35574 0.74412
12.0978 0.553483
12.6604 0.887268
12.6679 0.794231
12.5326 1.09111
14.5481 1.06195
16.8837 1.3087
16.9033 1.47884
17.0975 1.41562
20.4166 3.55423
21.9313 5.79334
25.8249 9.6006
28.6072 15.1776
30.1217 18.6424
29.8306 21.8253
30.3923 24.926
30.2697 27.1221
29.9248 26.8092
30.1667 26.8861
30.2469 26.911
29.5184 30.2969
29.0376 34.532
25.973 37.5169
21.3895 42.5661
17.2639 44.6801
14.7294 45.9617
10.9286 46.8365
8.67676 45.7694
5.10269 44.7201
1.2054 42.9912
-2.29914 41.7215
-7.0342 39.9027
-11.1785 36.4368
-15.0178 30.8831
-15.8674 28.673
-15.1462 26.4484
-15.4492 18.7215
-14.8535 15.5105
