x y
-0.388425 -0.245405
-1.04291 -1.01767
-0.772747 -1.46946
-1.59441 -2.31838
-1.77608 -2.80922
-3.01422 -4.15916
-2.80904 -5.44812
-2.59925 -6.20703
-2.58765 -7.37238
-2.75617 -8.34401
-2.62762 -8.6205
-2.50423 -8.61151
-2.91937 -9.83121
-2.64718 -10.3449
-2.43393 -10.3953
-2.53515 -10.9458
-2.92907 -11.7725
-3.32625 -12.0949
-2.76893 -12.2948
-2.38338 -13.0794
-2.50292 -14.5131
-2.14179 -14.5123
-2.03249 -14.5208
-2.25398 -15.0811
-2.04313 -15.0672
-1.9291 -15.0244
-2.05332 -15.0349
-1.93516 -14.7441
-1.88651 -14.7499
-1.97018 -14.7902
-1.98108 -14.7747
-2.14349 -14.8294
-1.92149 -14.8033
-1.93861 -14.7887
-1.99183 -14.8196
-2.1244 -14.8796
-2.02091 -15.9796
-1.63577 -17.0149
-1.21002 -17.2175
-1.01416 -17.4597
-0.656875 -18.5496
-0.360655 -19.0477
-0.325657 -19.6079
-0.0422646 -20.3885
0.459796 -21.1347
0.836313 -21.1125
1.53899 -21.1487
2.12463 -21.7479
3.00862 -22.8267
3.38665 -23.887
3.99999 -24.9714
5.09808 -26.3543
5.64914 -26.6878
5.79606 -27.2244
6.60732 -28.0548
7.29912 -28.4004
7.95677 -28.5671
8.16667 -29.8333
8.76619 -30.2082
9.55438 -30.2901
9.88792 -30.5755
10.8977 -31.6093
11.8665 -32.2997
12.1521 -31.8244
13.0663 -32.5317
13.179 -32.2844
13.2512 -31.041
13.6477 -30.9003
14.7757 -31.3269
15.2518 -31.6171
15.6903 -31.5132
15.5986 -30.7609
16.9469 -30.6208
17.3348 -29.9032
18.2456 -29.5896
18.5296 -29.9147
19.6257 -30.0996
20.3654 -29.7492
21.4157 -29.7986
21.8512 -29.9081
22.3521 -29.978
23.8821 -29.7205
24.6452 -29.6936
25.6364 -29.4014
26.476 -28.711
27.2213 -28.8284
28.2552 -28.9803
28.9159 -28.4716
30.2297 -27.8916
30.8038 -27.2417
31.7623 -26.3847
32.3637 -26.2083
32.6738 -25.7275
33.0416 -25.7251
33.3972 -25.5652
33.3649 -25.4599
33.349 -25.4919
33.1275 -25.0494
33.6765 -25.0149
34.1249 -24.4379
35.2142 -23.5039
36.1697 -22.8839
36.2511 -22.2526
36.3708 -21.7059
37.1519 -21.5915
37.0297 -20.9446
36.2519 -20.577
35.9504 -20.2689
36.5703 -20.352
36.9016 -20.3574
36.939 -20.4104
