x y theta
0.101327 0.0483313 -0.000579552
0.0732696 -0.26445 1.89577e-05
-0.224309 0.00167949 0.000666364
0.287139 0.402707 -6.3467e-05
0.0543717 0.0435664 0.000623686
0.0715783 -0.0044134 0.000216895
0.371185 0.232293 -4.38887e-05
-0.312917 -0.404665 0.000668654
0.128697 0.00381684 5.43227e-05
-0.174211 0.028412 -6.97633e-05
0.532361 0.441804 -0.00237504
0.347399 0.143725 -0.000354561
1.07987 -0.169965 -0.00619835
2.04238 -0.157517 -0.00321703
2.39495 -0.105169 -0.000248343
0.922991 0.868265 0.00522721
2.42641 -0.0564211 0.00424028
1.64248 -0.102727 0.0039222
-0.308321 -0.172071 0.000484456
0.227505 0.0684229 -8.22072e-06
-0.247238 0.306575 0.000844226
-0.0889053 0.196696 -0.000170754
2.39659 0.4376 -9.07287e-05
0.968097 0.0521809 0.00185283
-0.199889 0.06619 1.99522e-05
0.124335 0.0528486 0.000314923
0.89907 -0.167645 0.0191719
2.75269 -0.0603794 0.0461391
0.769196 1.00683 0.0376902
1.53756 1.12682 0.0257937
4.07969 1.88791 0.0531128
3.90267 1.83855 0.090151
2.4647 1.5306 0.0493005
1.83306 0.911321 0.0445291
1.33492 0.674121 0.0267956
1.03059 0.691383 0.043875
0.285675 1.65096 0.00678688
-0.00506348 0.574554 0.00166307
-0.235061 -0.407632 -0.000351587
0.278953 0.0735086 9.36144e-07
-0.058198 0.0662063 5.96334e-05
1.17863 2.20738 0.0301058
0.881753 0.46144 0.0625066
1.23535 1.20302 0.0493718
0.884169 0.348624 0.0657894
-0.16644 0.822151 0.0812512
0.612715 0.176196 0.0902359
-0.973579 2.62687 0.0299808
0.444475 1.78608 0.0446643
0.961307 1.76198 0.0455221
-0.900448 0.293677 0.0543986
1.01374 -1.52514 0.0266059
-0.465362 -0.594004 0.0477857
2.2651 -2.48767 0.0742891
-1.2996 -1.06359 0.0531454
-1.33223 -0.0202608 0.0390197
0.345814 -2.04682 0.070645
0.889802 -2.42025 0.0909394
-0.891736 -2.03753 0.0819667
-0.0873117 -1.64037 0.0761469
-0.697376 -0.920556 0.03381
0.284346 -0.419592 0.000217502
-0.684827 -0.422492 0.0458153
2.14497 -2.68608 0.0852001
0.820459 -1.40305 0.0385028
0.09663 0.099014 0.0192476
